,count,hate_speech,offensive_language,neither,class,tweet
546,3,0,0,3,2,"""OVO"" &#8220;@Allthingsfresh3: &amp; kendrick lamar still trash&#8221;"
548,3,0,1,2,2,"""Only a couple of Red Sox have gotten past first base."" I'm dying laughing. Maybe the Yanks need to teach them some game."
570,3,0,0,3,2,"""The devil grows inside the hearts of the selfish and wicked
571,3,0,0,3,2,"""The water isn't yellow
577,3,0,0,3,2,"""They have to. That division is trash @NoMeek_JustMilz: Saints gon win the NFC South...watch"""
580,3,0,0,3,2,"""This recipe calls for a leftover brownie. What the hell is a LEFTOVER brownie? That's just a brownie you haven't eaten yet.""-@EricaNadine26"
584,3,0,0,3,2,"""Two roads diverged in a yellow wood
607,3,0,0,3,2,"""YAH"" has said in his word that the Mtzra'ym(egyptians) are his people and Ysrah'al is his inheritance and the Kushite(ethiopians)....."
608,3,0,0,3,2,"""Yaoooooooo @yea_im_JAMAICAN: Mawnin yardies! &#128154;&#128155;&#128536;"""
621,3,0,1,2,2,"""You hit no lights
623,3,0,1,2,2,"""You look like little birds help you get dressed in the morning"""
631,3,0,0,3,2,"""Your teeth are like the stars."" ""Aww thanks!"" ""Yeah... yellow and far away from each other."""
646,3,0,1,2,2,"""hick and raver is a venn diagram that has a very large intersection"""
662,3,0,1,2,2,"""when rappers say twat it makes me feel weird"" &#128514;&#128514;&#128514;&#128557;"
670,3,0,0,3,2,#2013Faves RT &#8220;@grahamorama: #Snoop and #Justin are having so much fun at this Charlie Wilson tribute #BETAwards https://t.co/C6NHwUBlXN&#8221;
678,3,0,0,3,2,#AskDems Aren't you embarrassed that Charlie Rangel remains in your caucus?
680,3,0,1,2,2,"#BREAKING: AP calls Mass. Governor race for Charlie Baker. Watch live coverage on WCVB
684,3,1,0,2,2,"#BigBird was made by a gay couple. So yes
686,3,0,0,3,2,"#BlessJesus Amos 3:3 - Can two walk together
687,3,0,0,3,2,#BlessJesus Amos 5:10 There are those who hate the one who upholds justice in court and detest the one who tells the truth.
688,6,0,0,6,2,#BlessJesus The #Crown of HIS head to the sole of HIS feet
689,6,0,0,6,2,#BlessJesusAir Matthew 6:26 Look at the birds of the air.. and yet your heavenly Father feeds them.Are you not much more valuable than they?
690,3,0,0,3,2,#BlessJesusLove Happy Belated ( Sixty-Fifth) 65 Birthday *28 Aunt Mary Agnes #Strong
697,6,0,2,4,2,"#CommonQuestionIGet
708,3,0,1,2,2,"#DegenerateArtist Sniffs whiffy balls involuntary
709,3,0,0,3,2,"#DerekJeter as a lifelong #Yankees man
712,3,0,0,3,2,#EarlyBird #early #morning #sunrise #dawn #bird #thebird #jerryreed @ Kansas City http://t.co/kuVq8UpwUw
713,3,0,0,3,2,#Ebola Great and I thought the panic from bird flu was bad. I really ain't got time for that.
714,3,0,0,3,2,#Ebola is a great metaphor for how #GOP #teaparty policies eat off of vital organs until the host dies. #Tcot #teabaggers
715,3,0,0,3,2,#ExplainAnAnimePlotBadly Boy with a monkey tail grows up to the the savior of a futuristic yet old earth
718,3,0,0,3,2,"#FemaleLogic is worse than the jig
719,3,0,0,3,2,#FireCashman Why?? Because I am having to root for the Royals in October. #Yankees
723,6,0,0,6,2,"#Glory Isaiah Mom asked me if I wanted a brownie I said
724,9,0,0,9,2,#HOLIDAYSEASONLIVE @ShyGlizzy @plies Shy Glizzy Feat Plies - FREE THA GANG: http://t.co/pYGOSk0qCP
725,3,0,1,2,2,#HappyColumbusDay !!!! If is wasn't for #America.................#KarlMarx would never have thought of sharing #colonialism with #injuns !!!
726,3,0,0,3,2,#HappyColumbusDay .....hate to sound all #PETA callous and all........but #buffalo had it a LOT WORSE than the #injuns..........
728,3,0,0,3,2,#HellYeah RT @BaconGawd #No RT @HuffingtonPost Happy Fall! Pumpkin Spice Oreos are here http://t.co/2prvsKantE http://t.co/hleYm0YC29
729,3,0,0,3,2,"#HelloBrookland! We're here at the @MonroeStMarket opening! Serving free samples of cider
730,6,0,0,6,2,"#HolySpirit Joshua 1:3 Every place that the sole of your foot shall tread upon
735,3,0,0,3,2,#IU 8 straight nation #college soccer champions! Wow! #hoosiernation #hoosiers &#9917;&#127942;
736,3,0,0,3,2,"#IU should make me an honorary student
740,3,1,0,2,2,"#IndigenousPeoplesDay .........right. Because these #redskins had a lot of #queens
743,3,0,1,2,2,#Iraq gov troops were handed a severe defeat by #ISIS at Saqlawiya -- there's chatter of over 300 soldiers lost &amp; Jihadis raving about it
753,3,0,0,3,2,"#NP ""Centuries"" ~FOB"
755,3,0,0,3,2,#Natitude? Okay. I'm only going to say it once. COMB yer BEARDS. #lol #wiggers
756,6,0,0,6,2,#NowPlaying : BT feat. Tori Amos - Blue Skies (radio edit) on #1069TheArrow - http://t.co/R5wuXA9jB6
757,3,0,0,3,2,#NowPlaying : Great White - Once Bitten Twice Shy on #1069TheArrow - http://t.co/R5wuXA9jB6
758,6,0,0,6,2,#NowPlaying : Ian Hunter - Once Bitten Twice Shy on #1069TheArrow - http://t.co/R5wuXA9jB6
759,3,0,0,3,2,#NowPlaying : The Doors - The WASP (Texas Radio and the Big Beat) on #1069TheArrow - http://t.co/R5wuXA9jB6
762,3,0,0,3,2,#PDPLive is on November 10th. Get your early bird tickets from http://t.co/7xcL4Kyiuv @LifeOfShan http://t.co/ZcnP1ljoOW
763,3,0,0,3,2,#PacerNation 4/4 on the road! Perfect way to continue after #iubb have finished #NBA #Pacers #indiana #hoosiers
768,3,0,1,2,2,"#RadioFreeNorthwest 218
776,3,0,0,3,2,"#RedSox
778,3,0,0,3,2,#Royals 2-1!! Fantastic. Ready for tomorrow's sweep of the disposed O's. #Yankees 4ever except this month.
779,3,0,1,2,2,#Royals Milwaukee let Yost go.Now they wished they hadn't cause they suck.How about now.He's the guy win or lose. Yankees fire Girardi &#128073;Yost
780,3,0,0,3,2,#RuinAComedian @midnight Charlie Lapdance
788,3,0,1,2,2,#Skating is for trash.
794,3,0,0,3,2,#StopWhitePeople RT @ABC7: 9 cases of West Nile virus infections reported in Orange County this year; 105 dead birds found carrying virus
795,3,0,0,3,2,#TBT love you forever ling ling &#128115;&#128114;&#128152; @brittneycordova http://t.co/KEcfNjyrwE
796,3,0,1,2,2,#THEBOONDOCKS at 10:30 my nicca!
797,3,0,0,3,2,#TRUTH RT @notashley: David is the Charlie Brown of #Scandal
814,9,1,0,8,2,#WeAreRepublicNotRegime #POTUS BO violated USA sovereignty w/open border/Jihadis/criminal/diseased/Haitians/S.Americans #ImpeachObama
816,3,0,0,3,2,#WhatImCraving Peanut Butter Oreos &lt;3
820,3,0,0,3,2,#WorldSeriesGame3 Hunter Pence is so annoying he should be a Red Sox player. Shave fool and take your Vyvanse&#9918;&#65039;&#9918;&#65039;&#128074;&#128074;#Yankees 2015!!
821,3,0,0,3,2,#Yankees
822,3,0,0,3,2,#Yankees #FireCashman I don't want Arod back.
823,3,0,0,3,2,#Yankees #Jeter Let him play the entire inning. That's fitting.
824,3,0,0,3,2,#Yankees #SEC Robertson in. Guy is fantastic. SEC pitcher!!
825,3,0,0,3,2,"#Yankees 3
826,3,0,0,3,2,#Yankees 6-0. Nine straight hits. Price... Not your night.
827,3,1,0,2,2,#Yankees Damn you DirectTv blackout the Yankee game. With a freaking WALK OFF! You're killing me satellite douche.
828,3,0,0,3,2,#Yankees Damn. Well Joe that move to the bullpen really helped.
829,3,0,0,3,2,#Yankees I ain't complaining about the Royals win or lose game7. They showed heart. AL ride or die! No flex zone. They earned it!
830,3,0,0,3,2,#Yankees I went to Golds with Cruz in 2010 when he was a Sound. No upper /lower body strength.. Hmm now 40 HR hitter. Won't say the S word.
831,3,0,0,3,2,#Yankees If Royals have a fire sale. I want the whole team!! Leave Gardner and Tanaka. The rest can please go. Along with Joe and Cash.
832,3,0,0,3,2,#Yankees Nice bounce back @Michael Kay. Gotta keep this going!
833,3,0,0,3,2,#Yankees Pineda needed that 6'7. Great play!
834,3,0,0,3,2,"#Yankees Primo! Just got home and the Tanks are on MLB. Finally! And they are winning! Even better. Time to get serious
835,3,0,0,3,2,#Yankees got beaten by a thug
836,3,0,0,3,2,"#Yankees take all three games in MoTown
837,3,0,0,3,2,#Yankees wasted Nu&#241;ez's season #rays #mlb
848,3,0,0,3,2,#drunk #trash #trashed #wasted @ The Draught Horse http://t.co/UvWkhpEswh
852,3,0,1,2,2,#foxnews cuts away when a Democrat talks and claim to be fair and balanced. LMAO network full of #teabaggers and liars.
853,3,0,0,3,2,#gouache #inktober #oldpainting #mt #tiki #wahine #surf #monkey #bright #happysunday #peace wishing&#8230; http://t.co/l73hiK0IZ8
856,3,0,0,3,2,"#hoosier fans
859,3,0,0,3,2,#inners Still hanging in. #Yankees we need this win. NFL. It's not SUNDAY!!
860,3,0,0,3,2,#iubb #1 suiting up again tonight! #Indiana #IU #ncaa #hoosierdaddy #HoosierNation #hoosiers
863,3,0,1,2,2,"#metal only
867,3,0,0,3,2,#mt #commission #gouache #tiki #wahine #monkey #tubed #surfing #wavesliding #waterwalker #notkook http://t.co/vii3SmGRm3
868,3,0,0,3,2,#mt #goauche #monkey #oldpainting #vinyl #jazz #lounge http://t.co/hueH4HCxx7
869,3,0,0,3,2,#mt browngal #gouache #monkey #tiki http://t.co/kFhj8lWhbs
872,3,0,0,3,2,#np Shy Glizzy - Awwsome (Remix) (Feat. 2 Chainz &amp; A$AP Rocky) via @Spinrilla. http://t.co/OWxtdRKWbC
875,3,0,0,3,2,#philhughes @Yankees #nyy better then UR whole team
891,3,0,1,2,2,"#porn
892,3,0,1,2,2,"#porn
921,3,0,1,2,2,"#porn
925,3,0,0,3,2,#portlandia #putabirdonit RT @mightymouse105: The Xbox One would be so much cooler if they put a bird on it
928,3,0,1,2,2,#redneck tow truck. #johndeere #4455 #america https://t.co/iFInqwVRad
929,3,0,0,3,2,"#rejectedpeanutsspecials Its The Grape Crackhead
930,3,0,1,2,2,#southcarolina has a highschool graduation rate near 50% and that's why they have so many uninformed #teabaggers #morningjoe
931,6,0,1,5,2,#stateoftheunion would last 15mins if they let the President talk all that standing up clapping is for the birds
933,4,0,1,3,2,#tbt my precious gook baby &#128525;&#128525;&#128525;&#128525;&#128525;&#128525; @outtapocketjuju http://t.co/2QJLJj6tK5
935,3,0,0,3,2,#tbt when i took my likkle monkey jimmys http://t.co/LIK3xpZ6eZ
936,3,1,0,2,2,"#teabagger state like mississippi opposed to minimum wage
938,3,0,0,3,2,#tikiti - rough mock for the base of what will eventually be an ashtray @ Tiki Ti http://t.co/8zE8aqY0
942,3,0,1,2,2,#uppers loving the show this morning. Chris is directing the conversation beautifully. Make the teabaggers talk!
953,3,0,0,3,2,"&#127813;&#127813;&#127813; RT @GottliebShow: ""Killer line?"" @SBNationNBA: Josh Smith dropped a killer trash talk line on Kenneth http://t.co/C8d3sJoUpj&#8221;"
956,3,0,0,3,2,&#127867;&#127867;&#127867;&#127804;&#128153;&#127913; plus Sheryl crow http://t.co/49KYwZnotU
958,3,0,0,3,2,&#128027;=&#128176;&#128184; &#8220;@GOALSminded: its true that the early bird.. gets the worm first!&#8221;
971,3,0,1,2,2,&#128075; hi-ho http://t.co/FiC4FnRutZ
999,3,0,0,3,2,&#128514;&#128514; maaaaannnn i hope so! RT @ABrown252: @VonshayeB did we get rid of John Legend looking Charlie Batch?
1000,3,0,0,3,2,&#128514;&#128514; mike calls me t-bird @mikemastroccco
1037,3,0,1,2,2,&#128520;&#127383; we snap chatted for one night lol. But you're cute. Snapchat me back nig
1040,3,0,0,3,2,"&#128525;&#128525;&#128525;
1043,3,0,0,3,2,&#128530; my nerves are being worked cos of my monkey &#128529;&#128545;
1052,3,0,0,3,2,&#128553; monkey mad
1071,6,1,0,5,2,&#128557;&#128557;&#128557;&#128530; RT @KingHov1313: At work imma real Uncle Tom!&#128584;
1090,3,0,0,3,2,&#193;lbum de fotos: csitaly: [TS3]Fairy Tail - Satan Soul Mirajane Strauss made with The Sims 3. Happy... http://t.co/b4i8EiMux2
1092,3,0,0,3,2,&#8216;Chillin&#8217; With My Homie Or What&#8217;s Left Of Him&#8217;: British Rapper Turned ISIS Jihadi Poses With Severed Head http://t.co/L9vMdNOXPg #tcot
1111,3,0,0,3,2,&#8220;@ATrue_Cowboy: Truth about any distance for all you love birds out there! http://t.co/1Kqnw4LJ&#8221;
1112,3,0,0,3,2,"&#8220;@A_Brown_30: Frogger
1115,3,0,0,3,2,&#8220;@AbstractLife: @NigelDixon1 @SeanTHarrington Orton is trash idc&#8221; he ain't been playing. Trashlex Smith only sat out Kaep took his spot.
1117,3,0,0,3,2,&#8220;@AdderallHadMe: Adderall had me killing two birds with one stone http://t.co/wMiNpN64m2&#8221;&#128128;
1126,3,0,0,3,2,&#8220;@Amburger_6: Wtf is flappy bird&#8221; are you kidding me
1132,3,0,0,3,2,&#8220;@AntiGlib: RT @nateyfu123: #Yankees Michael Pineda in his next start.. http://t.co/Zb1zWN0jet&#8221; @954Nole
1137,3,1,0,2,2,"&#8220;@AshlynWynns: I'm a ""mud shark"" because I have black friends. Makes perfect sense. &#128514;&#128557;&#128514;&#128557; #idiotic&#8221; @"
1138,3,0,0,3,2,&#8220;@Ashton5SOS: An itsy bitsy teeny weeny yellow pock-a-dot bikini&#8221; Polk Ashton. Polk
1141,3,0,0,3,2,&#8220;@AustinMahone: just got a new fish it's albino and I named him shaquita #yee&#8221; bahaha
1153,3,0,1,2,2,&#8220;@BasebaIIVines: Michael Pineda hides pine tar...on his neck http://t.co/PJRKJeaY6h&#8221; fact that the Yankees cheat &#128077;&#128077;&#128077; Go Red Sox!! #Boston
1159,3,0,0,3,2,&#8220;@BeautyOfASinner: So they really deleted flappy bird from the App Store cus someone killed themselves over it &#128514;&#8221; foreal foreal ?? &#128561;&#128557;
1162,3,0,0,3,2,&#8220;@BestOfAds: Rape? Cannibalism? You Won't Recognize The Original Versions Of These Fairy Tales http://t.co/PrnJ8EFAoi&#8221; man wtf
1173,3,0,0,3,2,&#8220;@BobbyBudnic Oxtails and yellow rice is blasphemy&#8221; boneless
1183,3,1,0,2,2,"&#8220;@BurgerKing: What&#8217;s going to be your pick for #SelectionSunday? #2for5 #WatchLikeaKing http://t.co/aBam30gSk4&#8221;
1186,3,0,1,2,2,"&#8220;@CMRE24 wasn&#8217;t that great to me either RT @Ahki117: ""Equalizer"" was trash Denzel officially washed bruh&#8221;neither was flight"
1188,3,0,1,2,2,&#8220;@CRYaboutitNIGGA: I get paid too chill.&#8221; Share the wealth Lil nicca
1194,3,0,0,3,2,&#8220;@CaptainYankee2: Two of the best Yankees Derek Jeter and Joe Torre #JoeTorreDay http://t.co/XMyxfDBKOX&#8221; @jordan_luree
1226,3,0,1,2,2,&#8220;@CommonBlackGirI: here&#8217;s to all the kids who have never found their name on anything in a souvenir store&#8221; thanks mom for the ghetto name.
1227,3,0,0,3,2,&#8220;@CommonManKFAN: And that's why mock drafts are a joke my friends.....&#8221;Anyone???
1233,3,0,0,3,2,&#8220;@DIYcookery: Oreo cookies&#128523; http://t.co/8zcjWW56Zz&#8221;bruh &#128525;&#128539;&#128553;
1236,3,0,1,2,2,"&#8220;@DShmee: Tom Brady slowly becoming washed?&#128064;&#8221;
1249,3,0,0,3,2,&#8220;@Deuce1990: What will the Lakers be after kobe&#8221; trash
1268,3,0,0,3,2,"&#8220;@El_Grillo1: Islamic State suspects in Indonesia are Chinese Uighurs http://t.co/58IDicaHzT&#8221;
1305,3,0,0,3,2,&#8220;@GianneNichole: Lakers really trash.&#8221;&#128686;
1313,3,0,1,2,2,&#8220;@GreatGawd: Name something trash&#8221; Cavs
1325,3,0,0,3,2,&#8220;@HeyKeifer: Golden Oreos &#128016; regular Oreos &#128686;&#8221; YES!!!
1326,3,0,0,3,2,&#8220;@HeyKeifer: Oreos are basically dirt circles with cream.&#8221; True.
1337,3,0,0,3,2,&#8220;@HumbleTeej: @elisabethepps where am I on this rating scale???&#8221; Depends. You still wearing them colored contacts or naw?
1348,3,0,0,3,2,&#8220;@Iifetip: Kit Kat brownies. http://t.co/40W2a8qlBy&#8221; making.
1349,3,0,0,3,2,&#8220;@ImToBlame: Bruh RT @PriscoCBS: Trent took the yellow path http://t.co/1XxGuKtjp8&#8221;&#128514;&#128514;&#128514;&#128514;
1363,3,0,1,2,2,&#8220;@JayGorgeous: i need more beanies&#8221;just ordered two true religion ones lol
1372,3,0,0,3,2,&#8220;@JohnelHadleyJr: Uncle Charlie just got thru lip singing?!&#8221;haha
1373,3,0,0,3,2,&#8220;@JuanNdaCut: When twitter rappers dm me their trash links http://t.co/o5Orzo1O19&#8221;
1374,3,0,1,2,2,&#8220;@JukeJuke_9: Lance Stevenson gone leave Indiana&#8221; he trash anyway
1376,3,0,0,3,2,"&#8220;@JuniorMaye8: A lot of them are though. Attitudes be pure trash&#8221;
1381,3,0,1,2,2,&#8220;@KarynHalpin: Where do all the foreskins go when they circumcise a guy?&#8221; the Foreskin Fairy takes them after you put them under your pillow
1388,3,1,0,2,2,&#8220;@Kik2Clean: Brah Wiz cheated &#128514;&#128557; http://t.co/OZ2PnDNGJ0&#8221; she had hair like a dyke..... Uh.. Duh?
1390,3,0,0,3,2,"&#8220;@King_SM If Howard elbow bosh
1398,3,0,0,3,2,&#8220;@LastWordEvan: An inning and a half away from Alex Rodriguez being eligible to play. Just a thought. #Yankees #MLB&#8221; OMG. Feel an ulcer.
1434,3,0,0,3,2,&#8220;@MannyBDlopez: When you open your starburst candy and get 2 yellows http://t.co/F0dDbfEzB6&#8221; lmao bruh
1452,3,0,0,3,2,&#8220;@MomMeMustHaves: MMMH Daily is out! http://t.co/bPtRtXcel0 Stories via @KristinCruz&#8221; @ExMoShow #yellow is IN! &amp; @romyraves luv the bling!
1482,3,0,1,2,2,&#8220;@OGBEARD: Some of y'all bios are trash.&#8221; Mine pretty good
1495,3,1,0,2,2,"&#8220;@PlMPCESS: In the fashion world ""urban"" means ""stolen from black people"" its ghetto on us
1499,3,0,0,3,2,"&#8220;@PrayForJack I survived swine flu
1501,3,0,1,2,2,&#8220;@PubesOnFleeK: My tweets trash&#8221;
1505,3,0,0,3,2,&#8220;@Queendev_: My leave out is trash &#128552;&#8221;&#128557;&#128557;&#128557; u sick
1507,3,0,1,2,2,&#8220;@RaleighBeougher: dumb beaner&#8221; http://t.co/r0hABEQhSu
1527,3,0,0,3,2,&#8220;@RudeNation21: When girls take my snap backs and beanies lol&#128169; that's 35 dollars a hat and 40 for the AX beanieS &#128530;&#8221;I don't let them take it
1543,3,0,0,3,2,&#8220;@SarabiaErik: I just accidentally ate a pot brownie. I guess there goes my pledge of being drug free for life . lolz .&#8221; Lmao #College
1546,3,0,0,3,2,&#8220;@SexualMedic: How I feel when I'm throwing trash away... http://t.co/qQ94N1rD5N&#8221; everyday in school.
1552,3,0,0,3,2,&#8220;@ShesSoBlessed_: Oreos And Milk &#128523;&#8221;
1578,3,0,0,3,2,"&#8220;@TWOLVEGIRL: I find myself wanting to google ""the yellow king"" #TrueDetective&#8221; No kidding! What is going on?"
1595,3,0,1,2,2,&#8220;@TheFunnyVine: Red Neck Ice Bucket Challenge &#128514; https://t.co/cAgp3nIofd&#8221; he must be from the SIP. #redneck
1600,3,0,0,3,2,&#8220;@TheSportsDiva23: Adam Jones homers Yankees now lead 5-3.&#8221;Guy is a monsta
1605,3,0,1,2,2,&#8220;@Tom_2Times: Making weed brownies tonight&#8221; goin slide me a batch relo
1617,6,0,2,4,2,"&#8220;@TryHardSilva: Quote this with a weezy verse"" I'm a diamond in the rough like a baby in the trash"
1626,3,0,0,3,2,"&#8220;@UTRagers: COLT MCCOY WINS&#8252;&#65039;
1636,3,0,0,3,2,"&#8220;@WORSTRAPLYRlCS: http://t.co/hE19TIfqFX&#8221;
